,code,name,reservedPerShare,bvps,perundp,trade,total,end
480,601166,兴业银行,2.67,16.7,9.07,16.9,28.44,-11.54
1436,601088,中国神华,3.76,15.37,9.62,17.44,28.75,-11.31
2049,600508,上海能源,1.26,11.59,8.47,11.23,21.32,-10.09
477,1,平安银行,3.29,10.38,4.05,9.62,17.72,-8.1
115,488,晨鸣纸业,3.18,11.34,3.22,10.0,17.74,-7.74
254,600015,华夏银行,2.69,12.01,4.99,12.04,19.69,-7.65
597,600585,海螺水泥,2.02,13.94,10.35,18.69,26.31,-7.62
1497,600859,王府井,7.51,13.21,2.85,16.28,23.57,-7.29
581,600036,招商银行,2.68,15.72,7.85,18.99,26.25,-7.26
873,600875,东方电气,3.78,9.35,4.26,10.24,17.39,-7.15
2481,528,柳 工,3.13,7.85,3.18,7.93,14.16,-6.23
1862,600449,宁夏建材,4.25,8.9,3.28,10.5,16.43,-5.93
822,600717,天津港,2.08,9.01,4.99,10.48,16.08,-5.6
645,600000,浦发银行,3.45,15.26,3.97,17.09,22.68,-5.59
124,898,鞍钢股份,4.36,6.12,0.26,5.15,10.74,-5.59
348,600019,宝钢股份,2.05,7.17,2.54,6.31,11.76,-5.45
106,600325,华发股份,4.81,10.31,4.24,14.09,19.36,-5.27
306,600266,北京城建,2.42,12.17,4.84,14.27,19.43,-5.16
1810,600123,兰花科创,0.23,8.04,5.02,8.14,13.29,-5.15
985,600016,民生银行,1.77,8.95,3.63,9.41,14.35,-4.94
1336,600269,赣粤高速,0.79,5.92,3.24,5.04,9.95,-4.91
373,926,福星股份,3.15,10.33,4.85,13.47,18.33,-4.86
2122,877,天山股份,3.51,6.68,1.68,7.13,11.87,-4.74
1948,601898,中煤能源,2.83,6.33,2.11,6.55,11.27,-4.72
863,338,潍柴动力,0.01,7.79,6.91,10.04,14.71,-4.67
1302,900,现代投资,0.96,7.36,4.56,8.35,12.88,-4.53
1823,600026,中海发展,1.88,6.75,3.18,7.4,11.81,-4.41
225,600823,世茂股份,1.12,7.4,3.87,8.0,12.39,-4.39
954,601328,交通银行,1.53,7.49,1.25,5.9,10.27,-4.37
55,601186,中国铁建,2.98,9.3,4.53,12.48,16.81,-4.33
1913,600811,东方集团,3.36,6.76,1.68,7.47,11.8,-4.33
180,601939,建设银行,0.54,6.24,3.09,5.56,9.87,-4.31
1132,601998,中信银行,1.2,6.99,2.92,6.93,11.11,-4.18
1200,600308,华泰股份,1.92,5.52,2.16,5.52,9.6,-4.08
877,600805,悦达投资,0.45,7.43,5.22,9.05,13.1,-4.05
410,600104,上汽集团,3.72,16.7,8.56,24.94,28.98,-4.04
807,600741,华域汽车,3.97,11.53,5.44,17.01,20.94,-3.93
629,709,河钢股份,2.19,4.17,0.78,3.3,7.14,-3.84
240,601009,南京银行,2.51,10.17,2.8,11.65,15.48,-3.83
2879,601717,郑煤机,2.15,5.93,2.46,6.71,10.54,-3.83
2931,600969,郴电国际,8.86,11.94,1.86,18.9,22.66,-3.76
1015,600028,中国石化,0.99,5.72,2.13,5.1,8.84,-3.74
568,601398,工商银行,0.43,5.21,2.58,4.5,8.22,-3.72
1325,157,中联重科,1.65,4.88,1.97,4.8,8.5,-3.7
545,601117,中国化学,1.12,5.5,3.35,6.54,9.97,-3.43
253,600801,华新水泥,1.67,6.47,3.43,8.14,11.57,-3.43
969,601857,中国石油,0.7,6.46,3.82,7.6,10.98,-3.38
2520,402,金 融 街,2.3,8.57,4.71,12.3,15.58,-3.28
656,601988,中国银行,0.48,4.38,1.9,3.49,6.76,-3.27
501,600089,特变电工,2.53,6.99,3.13,9.41,12.65,-3.24
2368,830,鲁西化工,1.51,5.77,1.33,5.4,8.61,-3.21
416,600657,信达地产,1.01,5.46,3.44,6.73,9.91,-3.18
983,600020,中原高速,0.79,5.41,1.57,4.69,7.77,-3.08
1068,600720,祁连山,1.73,6.32,2.81,7.83,10.86,-3.03
405,601006,大秦铁路,1.66,5.89,2.61,7.18,10.16,-2.98
648,778,新兴铸管,2.0,4.7,1.4,5.16,8.1,-2.94
441,601818,光大银行,0.71,4.67,1.69,4.14,7.07,-2.93
442,600048,保利地产,1.25,7.09,4.64,10.06,12.98,-2.92
1534,600510,黑牡丹,2.86,7.18,2.09,9.23,12.13,-2.9
1922,2585,双星新材,5.07,7.42,1.19,10.94,13.68,-2.74
1734,572,海马汽车,2.29,4.55,1.2,5.35,8.04,-2.69
174,601169,北京银行,1.73,8.12,3.12,10.3,12.97,-2.67
1483,601101,昊华能源,2.7,5.41,0.97,6.53,9.08,-2.55
2177,792,盐湖股份,5.6,13.19,4.73,21.02,23.52,-2.5
2218,600971,恒源煤电,2.1,5.9,1.73,7.26,9.73,-2.47
781,601288,农业银行,0.3,3.79,1.5,3.22,5.59,-2.37
576,40,东旭蓝天,6.64,8.16,0.38,12.86,15.18,-2.32
874,600027,华电国际,1.33,4.36,1.76,5.13,7.45,-2.32
1170,600188,兖州煤业,0.26,8.55,6.15,12.66,14.96,-2.3
2333,600219,南山铝业,1.41,3.38,0.87,3.48,5.66,-2.18
1169,600030,中信证券,4.49,11.51,3.84,17.67,19.84,-2.17
646,825,太钢不锈,1.19,3.89,1.34,4.29,6.42,-2.13
1063,601211,国泰君安,3.85,12.79,4.59,19.14,21.23,-2.09
589,601992,金隅股份,0.58,4.14,1.96,4.61,6.68,-2.07
1320,601333,广深铁路,1.63,3.95,0.94,4.49,6.52,-2.03
833,600,建投能源,2.46,6.37,2.67,9.52,11.5,-1.98
1772,600004,白云机场,3.29,9.25,4.4,15.0,16.94,-1.94
1007,600221,海南航空,1.04,3.33,0.87,3.35,5.24,-1.89
771,600011,华能国际,1.2,5.45,2.62,7.39,9.27,-1.88
