,code,trade
0,603999,36.98
1,603998,17.94
2,603997,21.08
3,603996,26.65
4,603993,4.22
5,603989,38.91
6,603988,76.72
7,603987,20.04
8,603986,177.97
9,603979,20.01
10,603977,24.1
11,603969,15.0
12,603968,26.46
13,603959,35.14
14,603958,38.25
15,603939,33.06
16,603936,41.8
17,603919,34.66
18,603918,33.11
19,603909,61.88
20,603901,17.64
21,603900,24.83
22,603899,19.53
23,603898,32.6
24,603889,16.81
25,603888,112.85
26,603887,68.96
27,603885,25.38
28,603883,52.18
29,603869,32.9
30,603868,51.48
31,603866,46.3
32,603861,38.3
33,603859,53.49
34,603858,129.6
35,603843,26.64
36,603838,16.2
37,603828,26.38
38,603822,73.82
39,603819,12.63
40,603818,18.54
41,603816,56.92
42,603808,33.41
43,603806,50.69
44,603800,32.94
45,603799,33.82
46,603798,73.69
47,603789,30.64
48,603788,47.38
49,603779,35.04
50,603778,30.87
51,603777,59.59
52,603766,22.76
53,603738,93.64
54,603737,84.89
55,603729,84.18
56,603727,39.9
57,603726,63.53
58,603718,18.94
59,603716,160.62
60,603703,35.48
61,603701,75.87
62,603699,18.55
63,603698,30.36
64,603696,51.92
65,603688,23.29
66,603686,34.75
67,603678,85.5
68,603669,33.95
69,603667,43.92
70,603663,45.21
71,603658,59.52
72,603636,92.99
73,603633,17.22
74,603618,13.69
75,603616,19.01
76,603611,38.4
77,603609,14.18
78,603608,28.67
79,603606,15.68
80,603601,18.31
81,603600,58.62
82,603599,18.85
83,603598,27.35
84,603589,34.52
85,603588,33.04
86,603569,50.91
87,603568,25.8
88,603567,22.26
89,603566,26.4
90,603558,30.97
91,603556,64.54
92,603555,27.48
93,603528,85.77
94,603520,56.92
95,603519,34.91
96,603518,30.9
97,603515,45.76
98,603508,92.08
99,603456,25.41
100,603421,51.03
101,603399,11.21
102,603398,43.64
103,603393,66.42
104,603377,43.24
105,603369,13.39
106,603368,93.01
107,603366,10.22
108,603355,45.67
109,603339,45.56
110,603338,51.78
111,603336,14.75
112,603333,10.45
113,603328,35.46
114,603322,73.09
115,603318,16.45
116,603315,24.0
117,603313,48.45
118,603311,28.19
119,603309,28.46
120,603308,21.92
121,603306,38.03
122,603300,15.13
123,603299,22.38
124,603288,31.33
125,603268,56.65
126,603258,86.53
127,603227,9.42
128,603223,36.68
129,603222,16.34
130,603203,82.03
131,603199,44.04
132,603198,23.52
133,603189,46.05
134,603188,19.3
135,603169,13.36
136,603168,45.27
137,603167,11.22
138,603166,20.98
139,603160,136.66
140,603159,57.22
141,603158,27.7
142,603131,69.77
143,603128,12.34
144,603126,12.62
145,603123,11.04
146,603118,44.78
147,603117,17.89
148,603116,23.4
149,603111,14.81
150,603108,31.33
151,603101,29.04
152,603100,15.76
153,603099,21.89
154,603090,57.37
155,603088,55.91
156,603085,55.27
157,603077,5.23
158,603069,22.36
159,603067,35.27
160,603066,63.65
161,603060,45.4
162,603031,75.55
163,603030,33.78
164,603029,61.09
165,603028,32.38
166,603027,42.96
167,603026,49.29
168,603025,39.62
169,603023,16.54
170,603022,26.08
171,603021,61.63
172,603020,22.8
173,603019,31.27
174,603018,36.95
175,603017,23.81
176,603016,50.82
177,603015,14.17
178,603012,11.94
179,603011,13.19
180,603010,31.98
181,603009,48.65
182,603008,20.8
183,603007,61.34
184,603006,27.99
185,603005,33.71
186,603003,24.67
187,603002,6.87
188,603001,22.74
189,603000,19.02
190,601999,12.74
191,601998,6.93
192,601997,16.78
193,601996,9.39
194,601992,4.61
195,601991,3.98
196,601989,6.94
197,601988,3.49
198,601985,7.09
199,601969,13.05
200,601968,11.62
201,601966,33.46
202,601965,10.37
203,601958,8.5
204,601939,5.56
205,601933,4.68
206,601929,4.56
207,601928,11.46
208,601919,5.79
209,601908,7.74
210,601901,8.95
211,601900,21.62
212,601899,3.51
213,601898,6.55
214,601890,8.87
215,601888,44.78
216,601886,12.17
217,601882,8.22
218,601880,2.95
219,601877,22.17
220,601872,5.63
221,601866,4.45
222,601857,7.6
223,601818,4.14
224,601811,27.05
225,601808,13.38
226,601801,17.22
227,601800,15.58
228,601799,39.82
229,601798,12.82
230,601789,7.22
231,601788,17.58
232,601777,9.86
233,601766,10.51
234,601727,8.42
235,601718,8.38
236,601717,6.71
237,601700,8.47
238,601699,10.38
239,601689,29.13
240,601688,20.36
241,601678,6.55
242,601677,16.91
243,601669,7.61
244,601668,9.39
245,601666,5.81
246,601636,4.19
247,601633,11.05
248,601628,25.88
249,601618,5.11
250,601616,6.85
251,601611,16.14
252,601608,5.65
253,601607,20.39
254,601601,31.14
255,601600,4.6
256,601599,9.93
257,601595,45.51
258,601588,4.36
259,601579,14.6
260,601567,13.02
261,601566,17.7
262,601558,2.79
263,601555,14.79
264,601519,8.44
265,601518,4.52
266,601515,12.77
267,601500,24.44
268,601398,4.5
269,601390,9.46
270,601388,4.13
271,601377,8.76
272,601369,7.37
273,601368,13.22
274,601339,6.71
275,601336,47.66
276,601333,4.49
277,601328,5.9
278,601318,36.78
279,601313,13.08
280,601311,18.24
281,601288,3.22
282,601258,2.86
283,601238,25.24
284,601233,14.04
285,601231,11.37
286,601229,27.39
287,601226,9.17
288,601225,6.08
289,601222,8.84
290,601218,5.8
291,601216,5.23
292,601211,19.14
293,601208,8.11
294,601199,8.54
295,601198,23.35
296,601188,5.55
297,601186,12.48
298,601179,6.02
299,601177,11.36
300,601169,10.3
301,601168,8.48
302,601166,16.9
303,601163,40.5
304,601158,7.86
305,601155,12.02
306,601139,9.79
307,601137,13.79
308,601128,12.91
309,601127,29.26
310,601126,10.28
311,601118,7.34
312,601117,6.54
313,601116,20.47
314,601113,10.64
315,601111,7.74
316,601107,4.99
317,601106,5.91
318,601101,6.53
319,601100,16.01
320,601099,6.17
321,601098,18.37
322,601088,17.44
323,601069,24.06
324,601058,4.39
325,601038,11.59
326,601028,11.24
327,601021,42.27
328,601020,39.32
329,601018,5.3
330,601016,10.04
331,601015,9.79
332,601012,13.78
333,601011,7.54
334,601010,5.72
335,601009,11.65
336,601008,5.52
337,601007,14.17
338,601006,7.18
